ctx_len,mode,tokens_attended,latency_ms,speedup,mean_abs_logit_diff,max_abs_logit_diff,argmax_match
4096,dense,,14.902,1.0,0.0,0.0,1.0
4096,v3-gqa-dense,,0.91,16.378,0.000488,0.000488,1.0
4096,token-sparse,32,25.92,0.575,1.703827,8.445312,1.0
4096,block-sparse,512,59.804,0.249,1.726964,14.234375,0.0
4096,hybrid-16,32,19.955,0.747,0.640786,2.476562,0.0
16384,dense,,25.388,1.0,0.0,0.0,1.0
16384,v3-gqa-dense,,6.494,3.91,0.000977,0.000977,1.0
16384,token-sparse,32,52.981,0.479,1.143708,4.863281,0.0
16384,block-sparse,512,183.879,0.138,1.845818,15.339783,0.0
16384,hybrid-16,32,39.162,0.648,0.567815,2.074219,0.0
64000,dense,,71.835,1.0,0.0,0.0,1.0
64000,v3-gqa-dense,,25.441,2.824,0.001953,0.001953,1.0
64000,token-sparse,32,157.853,0.455,1.149221,5.800781,0.0
64000,block-sparse,512,671.943,0.107,1.569967,10.599609,0.0
64000,hybrid-16,32,114.781,0.626,0.716628,2.535156,1.0
